"Gender","Clinical.Y.N","Feedback"
"M","N","Fit note requested last week, no updates since – need it for work ASAP.  No idea what’s causing it."
"F","N","I app logs me out randomly,"
"F","Y","Shoulder pain radiating down my arm. Started last week, worse in the morning.  It’s affecting my routine badly."
"M","Y","My eczema has flared up badly – red, itchy patches on my arms and neck. I've been using creams but it doesn’t seem to help much. It’s really starting to affect my day-to-day."
"F","N","Email verification not arriving, even though I’ve tried resending it twice.  Wondering if this is common?"
"F","Y","I’ve been experiencing migraine that is dull but persistent. I’m finding it hard to manage with work."
"M","Y","I started having abdominal cramps last week, mostly in the evening. Eating seems to make it worse, especially anything fried. It’s really starting to affect my day-to-day."
"F","N","Why does the site log me out every few minutes? It’s incredibly frustrating when I’m in the middle of filling in details. I’ve talked to friends and they’ve had similar issues."
"M","Y","I’ve been experiencing chest tightness that feels sharp."
"F","N","I keep trying to log in but the NHS app crashes every time I open it. I've updated to the latest version and restarted my phone, but no luck. I’ve talked to friends and they’ve had similar issues."
"F","Y","Getting numbness in my fingers after using the keyboard for long. Wondering if it could be carpal tunnel?"
"F","N","Changed GP in settings but it still shows the old one when I check my profile.  Hoping to get this sorted soon."
"M","N","Can’t update my contact details – the button just doesn’t respond.  Hoping to get this sorted soon."
"F","Y","I’ve got this strange tingling in my left arm that comes and goes. It doesn’t hurt exactly, but it feels off – hard to describe. I’ve talked to friends and they’ve had similar issues."
"F","Y","I’ve been experiencing numbness in fingers that has been worsening. Never had anything like this before."
"F","N","I prescription order disappeared, even when I use a different device"
"F","N","Can’t reset my password. The system tells me it’s sent a reset link, but nothing arrives – not even in junk folder."
"M","N","Tried calling support but the line just goes dead after the initial menu. There’s no clear way to get help. I’ve talked to friends and they’ve had similar issues."
"M","N","I app logs me out randomly, despite updating it multiple times"
"F","N","I tried to change my GP online but the system gave me an error code with no explanation. What should I do? I’ve talked to friends and they’ve had similar issues."
"F","N","Login loop issue – app keeps asking me to sign in again right after I do.  This has never happened to me before."
"F","Y","I’ve been experiencing joint stiffness that feels sharp."
"F","Y","For the last couple of months, I've had persistent lower back pain that’s worsened when sitting for long periods. I’ve tried using heat packs but no real improvement. I’ve talked to friends and they’ve had similar issues."
"F","Y","My sleep has been disturbed due to abdominal cramps that come and go."
"F","Y","I’ve been experiencing shoulder discomfort that gets worse at night. I’m finding it hard to manage with work."
"M","N","I I keep getting an error message, despite updating it multiple times"
"F","N","Support form just reloads the page after I click submit. Really frustrating.  It’s affecting my routine badly."
"F","N","I the system won’t send a verification email, even after resetting my password"
"M","Y","I’ve been experiencing back pain that is dull but persistent. I’m finding it hard to manage with work."
"M","Y","For the last couple of months, I've had persistent lower back pain that’s worsened when sitting for long periods. I’ve tried using heat packs but no real improvement. Might be worth checking if others are experiencing the same."
"M","N","I app logs me out randomly, no matter how many times I try"
"F","Y","I’ve developed chest discomfort on exertion, not sharp but a pressure-like feeling.  Wondering if this is common?"
"F","Y","I’ve been experiencing back pain that is affecting my daily life."
"M","N","I I keep getting an error message, and it’s becoming really frustrating"
"F","N","Changed my phone number at the GP surgery two weeks ago but it's still showing the old one in my account. I’ve talked to friends and they’ve had similar issues."
"F","Y","I’ve got this strange tingling in my left arm that comes and goes. It doesn’t hurt exactly, but it feels off – hard to describe. I’m hoping this can be resolved soon."
"F","N","The prescription list is missing one of my regular meds. It was there before but now it’s gone and I can’t reorder it. Might be worth checking if others are experiencing the same."
"M","N","I the system won’t send a verification email, even when I use a different device"
"M","Y","Chronic fatigue setting in; I feel wiped out even after minor tasks.  This has never happened to me before."
"F","N","The app doesn’t seem to support landscape mode, which is a problem when I’m using my tablet with a keyboard attached. I’ve talked to friends and they’ve had similar issues."
"F","Y","Pain in my chest after walking up stairs, not severe but uncomfortable. It goes away with rest. I don’t have a history of heart issues, but it’s new. Not sure what to do next."
"F","Y","There’s a tingling sensation in my fingers that lasts for hours at a time.  This has never happened to me before."
"M","Y","I’ve developed chest discomfort on exertion, not sharp but a pressure-like feeling.  It’s affecting my routine badly."
"F","N","Every time I try to order a repeat prescription, I get a message saying ‘Service unavailable’. It’s been like this for days. Might be worth checking if others are experiencing the same."
"M","N","I’ve moved house and updated my address online, but it still shows my old one when I try to book an appointment. Not sure what to do next."
"M","N","Tried calling support but the line just goes dead after the initial menu. There’s no clear way to get help. It’s really starting to affect my day-to-day."
"F","Y","I’ve been experiencing abdominal cramps that has been worsening. Not sure what’s causing it."
"F","N","I fit note request has no response, no matter how many times I try"
"M","Y","I’ve been experiencing leg weakness that feels sharp. I’m finding it hard to manage with work."
"F","Y","Knees clicking and feel unstable, sometimes painful when bending.  Hoping to get this sorted soon."
"M","Y","I’ve been experiencing numbness in fingers that has been constant. Never had anything like this before."
"M","Y","I’ve been experiencing back pain that has been worsening. It’s been going on for a few weeks."
"M","N","Changed my phone number at the GP surgery two weeks ago but it's still showing the old one in my account."
"F","Y","Pain in my chest after walking up stairs, not severe but uncomfortable. It goes away with rest. I don’t have a history of heart issues, but it’s new. Might be worth checking if others are experiencing the same."
"F","N","Every time I update my details, they revert back after logging out. It’s like changes aren’t being saved. I’m hoping this can be resolved soon."
"F","N","I app logs me out randomly, even after resetting my password"
"F","Y","I’ve developed chest discomfort on exertion, not sharp but a pressure-like feeling.  This has never happened to me before."
"M","N","I profile won’t save changes,"
"F","Y","I’ve been experiencing shoulder discomfort that feels sharp. It’s been going on for a few weeks."
"F","N","Tried calling support but the line just goes dead after the initial menu. There’s no clear way to get help. Not sure what to do next."
"F","Y","Stomach issues after every meal, feels bloated and gassy, especially in the afternoon.  Hoping to get this sorted soon."
"F","Y","Shoulder pain radiating down my arm. Started last week, worse in the morning.  This has never happened to me before."
"F","Y","I’ve been experiencing leg weakness that has been constant. Not sure what’s causing it."
"M","N","Email verification not arriving, even though I’ve tried resending it twice.  Hoping to get this sorted soon."
"F","Y","I’ve been experiencing abdominal cramps that feels sharp."
"M","Y","Experiencing regular dizziness, especially after standing up quickly. It started mildly but has become more noticeable. Could this be related to medication side effects? Not sure what to do next."
"F","N","Prescription said it was sent but pharmacy hasn’t received anything yet.  Wondering if this is common?"
"F","N","I the app keeps crashing, and it’s becoming really frustrating"
"F","Y","I’ve been experiencing numbness in fingers that has been constant. Not sure what’s causing it."
"F","N","I app logs me out randomly, even when I use a different device"
"M","N","I can't log in, despite updating it multiple times"
"F","N","Every time I try to order a repeat prescription, I get a message saying ‘Service unavailable’. It’s been like this for days. I’ve talked to friends and they’ve had similar issues."
"F","Y","I’ve been experiencing leg weakness that gets worse at night. I’m finding it hard to manage with work."
"F","N","I my address is still wrong, and it’s becoming really frustrating"
"F","Y","My knees have become increasingly stiff and painful, particularly in the mornings. Sometimes they make a popping sound when I walk."
"F","Y","I’ve been experiencing joint stiffness that feels sharp. I’m finding it hard to manage with work."
"F","N","Login loop issue – app keeps asking me to sign in again right after I do.  Hoping to get this sorted soon."
"M","N","Every time I try to order a repeat prescription, I get a message saying ‘Service unavailable’. It’s been like this for days."
"F","Y","I’ve been experiencing leg weakness that is dull but persistent. Wondering if I should see someone about it."
"F","Y","I’ve been experiencing joint stiffness that started recently. I’m finding it hard to manage with work."
"M","Y","Shoulder pain radiating down my arm. Started last week, worse in the morning."
"F","N","I tried to change my GP online but the system gave me an error code with no explanation. What should I do?"
"M","Y","I’ve got this strange tingling in my left arm that comes and goes. It doesn’t hurt exactly, but it feels off – hard to describe. Not sure what to do next."
"M","Y","I’ve been experiencing insomnia that gets worse at night. I’m finding it hard to manage with work."
"F","N","I’ve moved house and updated my address online, but it still shows my old one when I try to book an appointment."
"M","Y","There’s a tingling sensation in my fingers that lasts for hours at a time.  It’s affecting my routine badly."
"F","N","It keeps saying 'session expired' even if I’ve just logged in. Happens almost every time I try to book an appointment. Might be worth checking if others are experiencing the same."
"F","Y","Chronic fatigue setting in; I feel wiped out even after minor tasks."
"F","N","Can’t update my contact details – the button just doesn’t respond.  It’s affecting my routine badly."
"F","Y","I’ve been experiencing numbness in fingers that gets worse at night. Never had anything like this before."
"M","N","Prescription said it was sent but pharmacy hasn’t received anything yet.  No idea what’s causing it."
"M","Y","I’ve been experiencing chest tightness that feels sharp. Never had anything like this before."
"M","N","Support form just reloads the page after I click submit. Really frustrating.  No idea what’s causing it."
"M","Y","I’ve been experiencing dizziness that started recently. It’s been going on for a few weeks."
"F","N","Email verification not arriving, even though I’ve tried resending it twice.  This has never happened to me before."
"F","N","Fit note requested last week, no updates since – need it for work ASAP.  Hoping to get this sorted soon."
"M","Y","Experiencing regular dizziness, especially after standing up quickly. It started mildly but has become more noticeable. Could this be related to medication side effects?"
"M","N","Prescriptions tab not showing up anymore, used to work fine before.  Wondering if this is common?"
"M","N","I submitted a request for a fit note but haven't received any confirmation or follow-up. I need it urgently for work. I’ve talked to friends and they’ve had similar issues."
"F","N","Tried calling support but the line just goes dead after the initial menu. There’s no clear way to get help."
"F","Y","I’ve been experiencing joint stiffness that has been worsening. Never had anything like this before."
"M","Y","There’s a tingling sensation in my fingers that lasts for hours at a time.  Wondering if this is common?"
"M","N","I the app keeps crashing, no matter how many times I try"
"F","Y","I’ve been experiencing abdominal cramps that feels sharp. Wondering if I should see someone about it."
"M","N","I keep trying to log in but the NHS app crashes every time I open it. I've updated to the latest version and restarted my phone, but no luck. It’s really starting to affect my day-to-day."
"M","Y","Dizziness has started affecting my ability to concentrate at work.  It’s affecting my routine badly."
"M","Y","I’ve developed chest discomfort on exertion, not sharp but a pressure-like feeling.  Hoping to get this sorted soon."
"F","Y","I’ve been experiencing dizziness that has been worsening. I’m finding it hard to manage with work."
"M","N","I profile won’t save changes, no matter how many times I try"
"F","Y","I’ve been experiencing shoulder discomfort that comes and goes. Not sure what’s causing it."
"F","N","Can’t update my contact details – the button just doesn’t respond.  This has never happened to me before."
"F","N","I the app keeps crashing, even after resetting my password"
"F","Y","Pain in my chest after walking up stairs, not severe but uncomfortable. It goes away with rest. I don’t have a history of heart issues, but it’s new."
"F","Y","Dizziness has started affecting my ability to concentrate at work."
"F","N","I can’t update my contact details, even when I use a different device"
"M","N","I the app keeps crashing,"
"F","N","I my address is still wrong, no matter how many times I try"
"F","Y","I’ve been experiencing back pain that gets worse at night. It’s been going on for a few weeks."
"F","Y","I’ve been experiencing abdominal cramps that started recently."
"F","Y","For the last couple of months, I've had persistent lower back pain that’s worsened when sitting for long periods. I’ve tried using heat packs but no real improvement."
"M","Y","I’ve been experiencing chest tightness that is dull but persistent."
"F","N","App keeps asking for a verification code but never sends one. I've tried multiple times with different devices. Not sure what to do next."
"M","N","I tried to change my GP online but the system gave me an error code with no explanation. What should I do? Might be worth checking if others are experiencing the same."
"M","Y","I’ve been experiencing insomnia that gets worse at night. Never had anything like this before."
"M","Y","I’ve been experiencing back pain that has been constant. Wondering if I should see someone about it."
"F","Y","Headaches becoming more frequent – lasting hours, mostly around my temples.  This has never happened to me before."
"F","Y","Knees clicking and feel unstable, sometimes painful when bending.  This has never happened to me before."
"M","Y","I feel exhausted all the time, even after a full night's sleep. I’ve also had some unexplained weight loss and headaches. Might be worth checking if others are experiencing the same."
"F","N","Every time I update my details, they revert back after logging out. It’s like changes aren’t being saved. Not sure what to do next."
"F","N","Can’t reset my password. The system tells me it’s sent a reset link, but nothing arrives – not even in junk folder. Might be worth checking if others are experiencing the same."
"F","Y","I’ve been experiencing joint stiffness that comes and goes."
"M","N","Changed GP in settings but it still shows the old one when I check my profile.  It’s affecting my routine badly."
"F","N","I tried to change my GP online but the system gave me an error code with no explanation. What should I do? It’s really starting to affect my day-to-day."
"F","N","App keeps asking for a verification code but never sends one. I've tried multiple times with different devices."
"F","N","The prescription list is missing one of my regular meds. It was there before but now it’s gone and I can’t reorder it. I’ve talked to friends and they’ve had similar issues."
"M","N","It keeps saying 'session expired' even if I’ve just logged in. Happens almost every time I try to book an appointment. I’m hoping this can be resolved soon."
"M","N","Changed my phone number at the GP surgery two weeks ago but it's still showing the old one in my account. Might be worth checking if others are experiencing the same."
"M","N","I can't log in, even after resetting my password"
"M","N","I’ve moved house and updated my address online, but it still shows my old one when I try to book an appointment. It’s really starting to affect my day-to-day."
"M","Y","I’ve been experiencing chest tightness that has been constant."
"M","N","I submitted a request for a fit note but haven't received any confirmation or follow-up. I need it urgently for work. Not sure what to do next."
"F","Y","My eczema has flared up badly – red, itchy patches on my arms and neck. I've been using creams but it doesn’t seem to help much. I’ve talked to friends and they’ve had similar issues."
"M","Y","I’ve been experiencing back pain that started recently. Not sure what’s causing it."
"F","Y","Chronic migraine attacks are becoming more frequent. Sometimes I can’t even look at light without feeling nauseous."
"F","Y","Chronic fatigue setting in; I feel wiped out even after minor tasks.  Wondering if this is common?"
"F","Y","I’ve been experiencing leg weakness that is affecting my daily life. Never had anything like this before."
"F","Y","I’ve been experiencing numbness in fingers that gets worse at night. Not sure what’s causing it."
